Venue_Name,Bedroom,Minimum_Price,Maximum_Price,Guest_Include,Venue_Type,Dining_Capacity,Reciption_Capacity,Stablished
One Aldwych Hotel,150,£65,£130,£180,£410,15,100,More than 50
Salomons Estate,2013,Country House,200,250,47,Honeymoon Suite,12:00 PM,
Barmbyfield Barns,,Barn,220,120,More than 50,,,
Lillibrooke Manor and Barns,1980,Barn,170,220,Changing Only,07:00 AM,12:00 AM,
Bourton Hall,12:00 AM,Country House,120,250,6,12,Honeymoon Suite,20
Stretton Manor Barn,12:00 PM,Barn,140,140,8,16,09:00 AM,
Guildford Manor Hotel & Spa,140,£79,£149,10,"£5,000","£10,000",80,1915
Bordesley Park Wedding Venue,2014,Barn,200,250,Changing Only,09:00 AM,12:00 AM,
Dukes Hotel,90,£95,£130,10,City Hotel,60,90,
,,,,,,,,
Furtho Manor Farm,07:00 AM,Barn,150,200,5,14,Standard Room,2
The Night Yard,2013,Barn,140,240,Changing Only,08:00 AM,12:00 PM,
Hedsor House,26,"£14,850","£41,695",Country House,150,250,13,More than 50
Danby Castle,90,£37,£55,"£7,400","£7,400",50,Castle,More than 50
That Amazing Place,150,£79,£120,"£8,670","£12,215",60,Country House,2014
Missenden Abbey,115,£56,£95,"£4,500","£10,000",60,Country House,11:00 AM
Homme House,09:00 AM,Country House,90,140,14,30,Honeymoon Suite,4
The Old Vicarage Boutique Wedding Venue,8,"£4,295","£8,995",50,Country House,60,85,More than 50
The Granary Estates,12:00 PM,Barn,180,220,6,12,09:00 AM,
Iscoyd Park,12:00 PM,Country House,160,180,14,30,Honeymoon Suite,
Barnutopia,40,"£1,920","£6,200",Barn,120,120,9,Between 30 and 50
The Boat House at Aston Marina,Changing Only,£35,"£5,500","£10,995",Boathouse,150,180,Yes
Knowlton Court,11:00 AM,Country House,86,156,30,64,Honeymoon Suite,12
Fulham Palace,More than 50,Country House,180,300,Changing Only,12:00 PM,1995,
The Vineyard,1996,£175,£276,140,150,49,Honeymoon Suite,
London Shenley Club,More than 50,Sporting Venue,200,300,09:00 AM,12:00 AM,2013,
Beeston Manor,14,£26,£77,10,Country House,125,200,Yes
Saltcote Place Rye,"£12,000",£45,£75,£50,£130,4,"£4,500",7
Hever Castle & Gardens,28,£170,£265,25,Castle,180,220,
Tunnels Beaches,10:00 AM,Garden,120,160,27,54,Changing Only,40
Great Fosters,220,£64,£75,£64,£125,Country House,180,12:00 AM
Swinfen Hall,35,£99,£160,Country House,110,180,18,More than 50
Bride Beautiful@Elsham Hall Gardens and Country Park,10:00 AM,"£2,000","£17,490",120,Barn,120,200,10
Northside Farm,2016,Barn,150,250,14,58,Honeymoon Suite,
Kilminorth Cottages,02:00 PM,Garden,250,300,31,60,Honeymoon Suite,5
Farnham Castle,270,£95,£163,"£8,750",50,Castle,200,12:00 PM
Manor By The Lake,"£14,500",£60,£200,£100,£200,24,£550,12
Gants Mill and Garden,10:00 AM,Garden,150,150,1,2,Standard Room,2
Ramster Hall,1980,Country House,160,200,Changing Only,09:00 AM,12:00 PM,
Southend Barns Wedding Venue,11:00 AM,Barn,140,200,1,2,Honeymoon Suite,
The Great Tythe Barn,350,£48,£85,£110,50,Barn,200,1995
Hothorpe Hall,55,"£10,499","£14,250",70,Country House,110,200,
The Matara Centre,"£11,100",£26,£50,£83,£148,75,"£6,250",13
Fanhams Hall,120,£99,£99,"£6,050","£6,500",50,Country House,09:00 AM
Rise Hall,02:00 PM,Country House,220,250,30,60,Honeymoon Suite,25
As You Like It,Yes,£40,City Hotel,120,200,2008,More than 50,
Hilton St. Anne's Manor,Honeymoon Suite,£55,£100,30,180,200,170,
Lympne Castle,Yes,Castle,100,09:00 AM,12:00 PM,1900,More than 50,
The William Cecil,120,£70,£90,"£4,995","£8,800",60,120,12:00 AM
Warwick Castle,30,£120,£360,10,Castle,120,180,1978
Castle Green Hotel,250,£62,£90,25,"£2,125",50,250,1997
Wrenbury Hall,Country House,£99,£99,60,"£8,500","£11,150",60,Honeymoon Suite
Brampton Grange Estate,250,£10,£50,"£5,390","£9,650",70,Barn,2005
The Great Hall at Mains,12:00 PM,Tudor Style Banqueting Hall,150,300,7,14,Honeymoon Suite,3
South Lodge,"£13,800",£62,£89,£99,£230,30,"£2,970",88
Doxford Barns,01:00 PM,Barn,180,250,17,41,Honeymoon Suite,6
Busbridge Lakes,Yes,Garden,Changing Only,09:00 AM,12:00 AM,2014,Between 10 and 30,
Woldingham Golf Club,Changing Only,£66,£99,50,Golf Course,135,250,20
Moorland Garden Hotel,Honeymoon Suite,£35,£63,160,200,44,90,Yes
SIREN Liverpool,Yes,City Hotel,60,100,01:00 PM,12:00 AM,More than 50,
Glewstone Court Country House,80,£75,£95,"£7,900","£10,200",60,Country House,11:00 AM
The Lost Village Of Dode,10:30 AM,Unique,42,45,3,6,Standard Room,3
Highgate House,Honeymoon Suite,£84,£100,Country House,140,220,97,80
Fennes,28,£60,"£6,250",Country House,700,700,14,More than 50
Middleton Lodge Events,,£11,£59,30,Country House,170,16,
"The Sun Hotel, Northumberland","£8,999",£13,£55,£13,£55,20,"£3,399",16
Rookery Meadow,10:00 AM,Garden,150,200,1,35,Honeymoon Suite,2
Prested Hall,11:00 AM,Country House,140,160,20,54,Honeymoon Suite,4
Chippenham Park,2012,Garden,200,250,5,10,Honeymoon Suite,
"Nailcote Hall Hotel, Golf & Country Club",49,"£2,900","£6,900",65,Country House,320,350,1991
"The Hundred House Hotel, Shropshire",Honeymoon Suite,£55,£75,Barn,120,140,9,30
Bruisyard Country Estate,200,£38,£56,£50,10,Barn,140,More than 50
Dumbleton Hall Hotel,Country House,£69,£125,2,"£5,000","£15,275",50,09:00 AM
Compton Verney House,More than 50,Stately Home,100,150,09:00 AM,12:00 PM,2004,
Barnsley House,54,"£1,000","£50,000",Country House,100,120,27,
The Casa Hotel,140,£62,£77,50,"£3,100","£4,849",50,08:00 AM
Deans Place Hotel,36,"£5,400","£8,700",60,Country House,120,200,Yes
The Elms,23,£95,£150,40,Country House,75,150,2011
Owen House Wedding Barn,Yes,Barn,190,250,16,36,Honeymoon Suite,
Hatfeild Hall,11:00 AM,£30,£80,20,Golf Course,120,195,
Aubrey Park Hotel,More than 50,160,200,137,294,Honeymoon Suite,1287,
The Kitchen Garden Cafe,"£5,995",£30,£45,£49,£84,40,"£3,995",Changing Only
Cragwood Country House Hotel,23,"£3,380","£5,260",40,Country House,80,120,1970
Newton Hall,03:00 PM,Country House,150,250,15,30,Honeymoon Suite,50
ALDBY PARK WEDDINGS,2016,"£7,995","£9,270",150,Garden,400,400,
Hylands Estate ,1999,Country House,300,300,Changing Only,10:00 AM,12:00 PM,
Knightor Winery,90,£5,£65,£52,£52,40,Barn,01:00 AM
Heskin Hall,Country House,£14,£55,£14,£90,"£1,850","£5,600",12:30 AM
Surrey County Hall,2012,£900,"£3,900",120,Town Hall,120,160,
Tewin Bury Farm Hotel,44,£108,£350,40,Barn,300,400,
Upton Barn and Walled Garden,6,Barn,156,156,2015,More than 50,Yes,
Ashfield House weddings ,12:00 PM,Country House,120,220,15,Honeymoon Suite,06:00 AM,
The Keeper and the Dell,11:00 AM,Barn,100,100,3,60,Honeymoon Suite,8
Crathorne Hall Hotel,Honeymoon Suite,"£3,995","£13,900",50,150,200,37,
Casey's Cordingley Hall,09:00 AM,£4,£60,30,Private Function Facility,175,350,
Eastington Park,,Country House,200,200,33,72,Yes,
East Riddlesden Hall,More than 50,Barn,170,250,09:00 AM,12:00 AM,1900,
The Shottle Hall Estate,11:00 AM,Country House,150,250,8,16,Honeymoon Suite,25
"The Grand Hotel, Tynemouth",Honeymoon Suite,£68,£88,40,150,200,46,50
Wasing Park,Yes,Barn,150,250,26,64,Honeymoon Suite,
Old Down Manor,28,"£4,898",200,Country House,120,200,13,More than 50
Knockwood Bespoke Receptions,12:00 AM,Garden,200,200,1,2,10:00 AM,
Yorebridge House,24,£100,£180,Country House,75,120,12,More than 50
Rookery Manor,01:00 AM,Country House,300,500,21,45,Honeymoon Suite,
The Stanwick Hotel,22,£45,£80,60,Garden,130,220,Yes
Kelham House Country Manor Hotel,24,"£3,999",50,Country House,120,180,12,
Trafalgar Tavern,200,£40,£60,£40,£120,30,Pub,More than 50
Birtsmorton Court,12:00 AM,Country House,250,300,20,Honeymoon Suite,09:00 AM,
Abbey House Hotel & Gardens,180,£50,£125,2,"£1,995","£29,950",60,01:00 AM
Bressingham Hall & High Barn,09:00 AM,Barn,150,150,7,18,Honeymoon Suite,
Oatlands Park Hotel,279,£115,£150,60,240,300,144,More than 50
Brinsop Court Manor & Event Barn,11:00 AM,Country House,180,250,18,47,Honeymoon Suite,10
Hallmark Hotels Liverpool Sefton Park ,11:00 AM,"£2,895",40,200,200,41,Honeymoon Suite,15
Hilton Hall,More than 50,£40,40,Country House,09:00 AM,12:00 PM,1900,
Trunkwell House,7,£70,£160,30,Country House,350,350,1990
The Walled Garden at Beeston Fields,30,Garden,220,Changing Only,2012,More than 50,Yes,
Lumley Castle Hotel,Honeymoon Suite,£55,£125,Castle,132,180,73,
Pembroke Lodge,12:00 PM,£50,£110,Country House,140,200,Changing Only,
The Green Cornwall,17,"£7,100","£16,250",40,Barn,140,140,2012
The Old Kent Barn,12:00 AM,Barn,150,250,3,Honeymoon Suite,08:00 AM,
"Burlington Hotel, Folkestone",120,£30,£42,75,"£7,199","£7,699",50,12:00 PM
Coombe Trenchard,09:00 AM,Country House,120,120,6,12,Honeymoon Suite,4
Russets Country House,"£8,000",£53,£125,£145,£160,60,"£3,000",Changing Only
The Barn at Upcote,2016,Barn,120,200,4,10,Honeymoon Suite,
"St Giles House, Wimborne",10,£75,"£10,500","£15,000",Stately Home,120,200,2016
Gate Street Barn,08:00 AM,Barn,150,200,11,24,Standard Room,6
Briery Wood Country House Hotel,23,"£2,750","£3,420",40,Country House,112,130,1982
Solberge Hall Hotel,12:00 PM,Country House,160,200,24,50,Honeymoon Suite,
Marleybrook House,11:00 AM,Country House,150,300,4,8,Honeymoon Suite,
Roman Baths and Pump Room,200,£22,£110,"£5,850","£6,600",40,Museum,More than 50
The Black Horse Inn at Clifton,Pub,£20,£80,20,"£3,250","£6,000",45,12:00 PM
Deans Court,09:00 AM,Country House,160,200,13,26,Standard Room,4
Hooton Pagnell Hall Weddings ,5,"£15,500","£26,000",80,Country House,120,150,2016
The Woodlands,23,"£8,500","£10,925",60,Rustic Luxe In/Outdoor,65,150,
The Isla Gladstone Conservatory,"£6,000",£45,£99,£92,£150,60,"£5,500",11:00 AM
Kinlet Hall,01:00 AM,Country House,120,180,12,Honeymoon Suite,11:00 AM,
Rushton Hall Hotel and Spa,60,£95,£135,£110,£150,60,"£12,000",Honeymoon Suite
"The Welcombe Hotel, Stratford Upon Avon",Honeymoon Suite,£60,£90,40,120,180,85,
Yoghurt Rooms,8,£60,£125,60,Barn,150,150,More than 50
Marsham Court Hotel,95,£45,£65,45,City Hotel,120,230,1987
St George Hotel,2,£28,"£2,995","£10,500",180,300,90,More than 50
Kingston Country Courtyard,2006,Barn,130,170,25,60,Honeymoon Suite,
Hodsock Priory,140,£48,£60,£60,£150,60,Country House,12:00 PM
The Monastery Manchester,Changing Only,£60,£105,30,Monastery,400,500,Yes
Hope St Hotel,01:00 AM,City Hotel,60,150,89,Honeymoon Suite,12:00 PM,
Pentillie Castle and Estate,10,£95,£150,"£10,000",Castle,120,150,More than 50
Silverholme Manor,03:00 PM,Country House,200,200,9,18,Honeymoon Suite,4
Westmead Events,300,"£2,800","£2,800",300,Garden,300,300,More than 50
Whatley Manor,120,"£5,000","£11,500","£19,000","£40,000",120,Country House,03:00 PM
Rownhams House & Gardens,2010,Country House,120,150,Changing Only,10:00 AM,11:00 PM,
Loseley Park,Between 10 and 30,Country House,140,180,Honeymoon Suite,09:00 PM,1990,
"The Old Lodge, Minchinhampton",100,£65,£120,14,"£1,650","£12,000",70,08:00 AM
Raven Hall Country House Hotel,62,£10,£75,2,Country House,100,120,Yes
Sopley Mill,More than 50,100,140,Changing Only,09:00 AM,12:00 AM,2013,
Battle Abbey School,More than 50,Castle,120,250,12:00 AM,12:00 AM,1984,
BEST WESTERN Burn Hall Hotel,Yes,200,200,94,Honeymoon Suite,1900,Between 10 and 30,
Heythrop Park Resort,800,£90,£135,120,"£14,000","£16,000",Country House,12:00 PM
Kingscote Barn,8,"£3,999","£6,495",15,Barn,150,200,More than 50
"Woldingham School, Marden Park",More than 50,Country House,130,250,Changing Only,10:00 AM,12:30 AM,
"Woodlands Hotel, Leeds",250,£33,£44,£135,£185,70,140,More than 50
Ashridge House,190,£179,£209,80,Stately Home,190,400,Between 10 and 30
Tithe Barn Symondsbury Estate,2014,Barn,130,200,90,09:00 AM,12:00 PM,
Shilstone,200,£35,£35,£75,30,Country House,200,12:00 AM
Owlpen Manor,200,£30,£80,"£2,750","£12,000",Country House,180,12:00 AM
The Brewery,Standard Room,£130,£160,80,City Hotel,500,900,Yes
Crockwell Farm,01:00 AM,Barn,200,250,9,Honeymoon Suite,08:00 AM,
Kettering Park Hotel & Spa,Honeymoon Suite,"£4,995","£6,850",70,150,200,119,
Coltsford Mill,150,£65,£82,£65,£82,60,Barn,1996
Surrey National Golf Club,More than 50,Golf Course,220,340,Changing Only,12:00 AM,12:00 PM,
Events at Gurnard,"£5,799",£7,£35,£25,£75,25,"£2,100",02:00 AM
Stubton Hall,60,£114,£179,Country House,200,250,25,More than 50
Pennyhill Park,2,£125,£160,30,200,200,124,More than 50
Flanesford,08:00 AM,Garden,250,300,20,39,Honeymoon Suite,8
"The Queens House, London",120,£142,£150,£134,£226,40,Country House,Yes
"The Upper House, Staffordshire",12:00 AM,Country House,100,150,24,Honeymoon Suite,11:00 AM,
Nutfield Priory Hotel & Spa,Country House,£95,£155,50,"£4,750","£24,500",50,Honeymoon Suite
Rhinefield House Hotel,200,£110,£125,30,"£10,000",60,130,Yes
Grittleton House,12:00 PM,Country House,200,400,26,Honeymoon Suite,09:00 AM,
Preston Court,2008,Barn,120,300,10,30,Honeymoon Suite,
Legacy Hotel Victoria,142,£50,£95,50,250,300,71,Between 10 and 30
Oxnead Hall,12:00 PM,Country House,200,220,13,26,Honeymoon Suite,
Bassmead Manor Barns,More than 50,Barn,150,150,8,16,Honeymoon Suite,
Offley Place Country House Hotel,16,£85,£120,40,Country House,250,250,2000
Peelings Manor Barns,Between 10 and 30,Barn,100,200,09:00 AM,12:00 PM,2016,
,,,,,,,,
The Castle Hotel,"£6,950",£62,£128,£61,£128,50,"£3,025",76
Lainston House,12:00 AM,Country House,120,200,50,Honeymoon Suite,08:00 AM,
Hidden River Cabins,12:00 PM,Log Cabins,250,250,22,58,08:00 AM,
The Duke Of Cornwall Hotel,72,£45,£95,45,City Hotel,220,300,1863
Cottesmore Hotel Golf and Country Club,26,£70,£100,50,Golf Course,150,200,1970
Lemore Manor,09:00 AM,Country House,150,150,19,38,Honeymoon Suite,
Highfield Park,58,"£4,800","£19,050",70,Country House,140,200,1988
Alpheton Hall Barns,Changing Only,£100,£300,60,Barn,200,200,Yes
The Lodore Falls Hotel,120,£95,£115,2,£95,"£4,250",50,09:00 AM
Smedmore House,09:00 AM,Country House,200,200,8,16,Honeymoon Suite,3
30 Euston Square,2,£100,24,City Hotel,230,300,41,Yes
Tracey Estate Parkland and Gardens,12:00 PM,"£5,500","£5,500",120,Garden,150,200,
Sandhole Oak Barn,1995,Barn,140,140,16,40,Honeymoon Suite,
Vaulty Manor,10:00 AM,Barn,200,250,23,55,Honeymoon Suite,
Huntsham Court,04:00 PM,Country House,130,150,40,92,Honeymoon Suite,35
Larmer Tree Gardens,10:00 AM,Garden,150,250,9,17,Changing Only,8
Trenderway,12:00 AM,Barn,150,250,7,14,Honeymoon Suite,15
The Lord Mayors Mansion House,More than 50,City Hotel,100,100,Changing Only,10:00 AM,11:00 PM,
Solent Hotel & Spa,171,£78,£150,"£7,975","£9,700",160,200,Yes
Chilli Barn,11:00 AM,£75,£140,60,Barn,66,90,5
Fison Barn,Yes,Barn,85,200,08:00 AM,11:30 PM,More than 50,
Hengrave Hall,11:00 AM,Country House,140,250,26,54,Honeymoon Suite,4
Donnington Valley Hotel and Spa,140,£95,£105,50,"£3,950","£4,250",50,More than 50
The Tythe Barn Launton,09:00 AM,Barn,155,220,1,2,Honeymoon Suite,20
The Garden Barn,09:00 AM,Barn,100,140,2,4,Honeymoon Suite,
Worton Hall,10:00 AM,Barn,250,600,12,26,Honeymoon Suite,
"Mercure Norton Grange Hotel & Spa, Manchester North",4,"£3,950","£9,150",50,130,200,81,More than 50
Hampton Manor Hotel and Peel's Restaurant,30,£125,£190,Country House,120,150,15,More than 50
De Vere Windsor Beaumont Estate,4,£145,£160,75,450,450,429,More than 50
Little Silver Country Hotel,39,£50,£119,4,120,150,16,Yes
Mandolay Hotel,100,"£5,095","£7,595",60,310,500,78,Between 30 and 50
New Craven Hall,09:00 AM,"£5,000","£7,350",Industrial,200,250,Changing Only,10
The Rosevine,03:00 PM,Country House,65,90,15,30,Honeymoon Suite,10
Ta Mill,03:00 PM,Barn,120,120,28,60,Honeymoon Suite,
"The Secret Garden, Ashford",Changing Only,£69,£86,20,Garden,85,150,Yes
Stanlake Park & Vineyard,Changing Only,£46,£120,40,Barn,150,170,22
Stoke Park,49,£145,£225,10,Country House,144,200,More than 50
Shrewsbury wedding center Dorset pools,Less than 10,Garden,1000,1000,06:00 AM,01:00 AM,2000,
Woodhill Hall,04:00 PM,Country House,120,180,16,36,Honeymoon Suite,25
All Saints The Old Chapel,Stunning Chapel,£33,£75,£110,40,"£4,900",60,2019
Skitby,More than 50,Barn,140,200,09:00 AM,01:00 AM,2010,
Saltmarshe Hall,19,£85,£100,60,Country House,118,180,More than 50
Priston Mill,10,Barn,150,200,1995,More than 50,Yes,
Cherished Memories Wedding Venue ,12,£110,£160,50,Garden,150,250,1900
Layer Marney Tower,1991,Castle,140,180,Honeymoon Suite,09:00 AM,12:00 AM,
Styal Lodge,2009,Barn,160,180,Changing Only,10:00 AM,01:00 AM,
Royal Berkshire,Honeymoon Suite,£105,£165,10,150,200,66,
The Granary at Fawsley,"£29,995",£28,£60,£28,£54,10,"£4,999",10
South Place Hotel,2012,95,200,80,Honeymoon Suite,12:00 AM,01:00 AM,
Whitney Court,10:00 AM,Country House,132,200,11,23,Honeymoon Suite,2
River Cottage HQ,More than 50,Barn,100,120,Honeymoon Suite,12:00 PM,1999,
Strawberry Hill House,More than 50,Castle,100,130,12:00 PM,12:00 PM,1900,
Haven Hotel,1900,160,250,84,Honeymoon Suite,10:00 AM,12:00 PM,
Higher Holcombe,Yes,Woodland. countryside. ,10,32,Honeymoon Suite,2019,Less than 10,
The Pilgrims Rest,2016,Wealden Hall house,60,100,Changing Only,08:00 AM,12:00 PM,
Ringwood Hall Hotel,150,£40,2,Country House,250,250,74,
Peckforton Castle,48,£100,£151,2,Castle,160,300,More than 50
"Sibton Park, Wilderness Reserve",2014,Country House,140,200,42,84,Honeymoon Suite,
Hagley Hall,More than 50,Country House,120,150,Changing Only,03:00 PM,12:00 PM,
The Vermont Hotel,101,£109,£139,10,City Hotel,120,200,2012
Diglis House Hotel,12:00 AM,100,150,33,60,Honeymoon Suite,11:00 AM,
Ston Easton Park Hotel,60,£55,£95,£55,£95,40,"£5,495",46
Chesford Grange,400,£80,£94,40,"£2,999",40,400,
Chateau Impney Hotel & Exhibition Centre,Honeymoon Suite,£99,£140,Country House,1200,1200,69,
The Honourable Society Of Gray's Inn,350,£29,£155,£168,4,Historic/Traditional,176,Yes
The Orchid Hotel,160,£34,£36,£82,£90,20,100,More than 50
Thornton Manor,01:00 AM,Country House,1000,1000,22,44,09:00 AM,
Middle Coombe Farm,11:00 AM,Barn,110,110,10,20,Honeymoon Suite,
Chatsworth House,25,Country House,150,150,2008,More than 50,Yes,
West Tower,38,£75,50,Country House,140,140,19,
Glasshouse on the Lock,130,£60,£80,50,City Hotel,200,350,4
Vallum Farm,More than 50,Barn,160,200,10:00 AM,11:00 PM,2012,
Hilltop Country House,10:00 AM,Country House,180,200,4,8,Honeymoon Suite,
Mythe Barn,2012,Barn,150,150,8,24,Honeymoon Suite,
The Cherry Barn,08:00 AM,Barn,150,200,3,6,Honeymoon Suite,
The Arlington Ballroom,10:00 AM,£50,£85,70,City Hotel,160,250,
Middleton Hall,More than 50,Country House,100,100,Changing Only,11:00 AM,11:00 PM,
The Earl Of Doncaster Hotel,Honeymoon Suite,"£3,200","£7,000",200,250,73,2,Yes
Cottons Hotel & Spa,Honeymoon Suite,£54,£81,30,140,200,138,8
The Priests House,12:00 PM,Chapel,75,85,4,24,Changing Only,5
Hollywood House,11:00 AM,Country House,90,120,16,40,Honeymoon Suite,3
"St Giles House Hotel, Norwich",City Hotel,£27,£106,40,"£11,000","£14,000",120,Honeymoon Suite
Irnham Hall,120,£50,£65,"£15,000",100,Stately Home,140,12:00 AM
Dove Barn,More than 50,Barn,120,150,10:00 AM,12:00 PM,2002,
Glemham Hall,More than 50,Country House,170,200,Changing Only,09:00 AM,12:00 AM,
Ellenborough Park,08:00 AM,Country House,200,200,61,122,Honeymoon Suite,4
Carlton Towers,12:00 PM,Country House,200,300,24,40,Honeymoon Suite,
"Old Thorns Manor Hotel, Golf & Country Estate",Golf Course,£75,£99,60,"£5,995","£6,996",60,Honeymoon Suite
Kimbolton Castle,More than 50,Castle,120,250,Changing Only,09:00 AM,12:00 PM,
Eastwood Park,180,£45,£60,"£3,500","£6,500",Country House,100,More than 50
The City Rooms,2006,City Hotel,200,200,4,8,Honeymoon Suite,
Nettlestead Place,150,£51,£62,£51,£63,70,Country House,09:00 AM
"The Grand, York",414,£90,£170,60,120,180,207,More than 50
Blackstock Weddings,08:00 AM,Barn,150,250,11,22,Honeymoon Suite,8
Island Hall,200,£54,£80,£158,£236,10,Country House,2011
Malvern College Weddings,3,College,180,180,10:00 AM,Between 30 and 50,Yes,
North Cadbury Court,12:00 PM,Country House,150,250,25,53,Honeymoon Suite,
The Devonshire Fell,90,£85,£150,30,"£4,724","£9,974",Country House,12:00 PM
Harrowden Hall,11:00 PM,"£6,495","£9,795",Country House,80,150,08:00 AM,
Pennard House - Somerset,10:00 AM,Country House,120,180,10,24,Honeymoon Suite,7
Bishop's Palace,75,£28,£43,£40,£70,"£7,000","£12,000",12:00 AM
Grovefield House Hotel,120,£79,£135,20,"£4,018","£15,000",60,12:00 PM
The Venue at Kersey Mill,120,£10,£48,"£7,200","£7,700",60,Country House,
Horsted Place Country House Hotel,11:00 AM,Country House,100,150,20,40,Honeymoon Suite,24
